ID,Created_At,Text,Author,Flesch_Readability,Flesch_Grade,Gunning_FOG_Score,Automated_Readability_Index,Coleman_Liau_Index,Linsear_Write_Score,Dale_Chall_Readability
8.59601184285491E+017,2017-05-03 02:51:07,FBI Director Comey was the best thing that ever happened to Hillary Clinton in that he gave her a free pass for many bad deeds! The phony,realDonaldTrump,69.45,10.3,24.6518518519,11.4,6.85,13.5,9.65
8.59514893418082E+017,2017-05-02 21:08:14,"Congratulations to the winners of the Commander-in-Chief's Trophy, the great Air Force Falcons!  Watch: ",realDonaldTrump,48.81,9.9,21.8857142857,15.5,19.02,8,9.97
8.59393829505552E+017,2017-05-02 13:07:10,"either elect more Republican Senators in 2018 or change the rules now to 51%. Our country needs a good ""shutdown"" in September to fix mess!",realDonaldTrump,84.17,4.6,19.8,6.5,8.51,5.75,9.31
8.59392449181094E+017,2017-05-02 13:01:41,The reason for the plan negotiated between the Republicans and Democrats is that we need 60 votes in the Senate which are not there! We,realDonaldTrump,63.02,10.7,23.2,12,8.77,14.5,9.3
8.59209801175269E+017,2017-05-02 00:55:54,"President Andrew Jackson, who died 16 years before the Civil War started, saw it coming and was angry. Would never have let it happen!",realDonaldTrump,84.68,4.4,23.4666666667,6.3,8.63,5,10.81
8.59127705366921E+017,2017-05-01 19:29:41,This month we celebrate the contributions of Asian Americans and Pacific Islanders that enrich our Nation.,realDonaldTrump,38.31,11.9,28.4,13.4,15.43,9,12.33
8.58660413873025E+017,2017-04-30 12:32:50,healthcare plan is on its way. Will have much lower premiums and deductibles while at the same time taking care of pre-existing conditions!,realDonaldTrump,59.8,7.8,20.5130434783,8.3,11.06,5.25,9.7
8.58659215451271E+017,2017-04-30 12:28:04,You can't compare anything to ObamaCare because ObamaCare is dead. Dems want billions to go to Insurance Companies to bail out donorsNew,realDonaldTrump,43.39,9.9,20.9454545455,8.7,11.87,5.5,9.92
8.58654431956673E+017,2017-04-30 12:09:04,"The Democrats, without a leader, have become the party of obstruction.They are only interested in themselves and not in what's best for U.S.",realDonaldTrump,59.8,7.8,22.252173913,8.5,11.29,5.75,10.39
8.58653541094879E+017,2017-04-30 12:05:31,Big excitement last night in the Great State of Pennsylvania! Fantastic crowd and people. MAKE AMERICA GREAT AGAIN!,realDonaldTrump,65.39,5.6,17.7333333333,7.2,10.72,3,9.2
8.58375278686614E+017,2017-04-29 17:39:48,"Mainstream (FAKE) media refuses to state our long list of achievements, including 28 legislative signings, strong borders and great optimism!",realDonaldTrump,42.72,12.3,28,17.3,18.1,12,11.73
8.58343980823704E+017,2017-04-29 15:35:26,"Looking forward to RALLY in the Great State of Pennsylvania tonight at 7:30. Big crowd, big energy!",realDonaldTrump,79.77,4.2,19.5176470588,5.8,8.95,3.75,9.63
8.58100088253669E+017,2017-04-28 23:26:18,"North Korea disrespected the wishes of China and its highly respected President when it launched, though unsuccessfully, a missile today. Bad!",realDonaldTrump,41.7,12.7,31.3523809524,16.4,16.42,12.5,12.95
8.57931397562085E+017,2017-04-28 12:15:59,"We are making tremendous progress with the V. A. There has never been so much done so quickly, and we have just started. We love our VETS!",realDonaldTrump,87.72,3.3,14.4888888889,2.6,5.01,3.5,7.59
8.57605104417026E+017,2017-04-27 14:39:25,As families prepare for summer vacations in our National Parks - Democrats threaten to close them and shut down the government. Terrible!,realDonaldTrump,50.16,11.5,27.5428571429,15.1,14.74,11,11.45
8.57605018266063E+017,2017-04-27 14:39:04,Democrats used to support border security  now they want illegals to pour through our borders.,realDonaldTrump,56.25,9.1,26.6666666667,10.9,12.69,7.5,11.75
